Year,Species,Type,Metric Tons,Pounds,USD
1950,LOBSTER,AMERICAN,10522.5,23197900,8346062
1950,LOBSTER,CALIFORNIA SPINY,423.4,933500,296066
1950,LOBSTER,CARIBBEAN SPINY,707.5,1559700,280740
1951,LOBSTER,AMERICAN,11768.9,25945800,9378322
1951,LOBSTER,CALIFORNIA SPINY,374,824600,301867
1951,LOBSTER,CARIBBEAN SPINY,1405,3097400,588506
1952,LOBSTER,AMERICAN,11354.3,25031800,10556024
1952,LOBSTER,CALIFORNIA SPINY,365.9,806700,337282
1952,LOBSTER,CARIBBEAN SPINY,731.4,1612400,403100
1953,LOBSTER,AMERICAN,12752.9,28115100,10870406
1953,LOBSTER,CALIFORNIA SPINY,340.2,750100,352856
1953,LOBSTER,CARIBBEAN SPINY,905.1,1995400,399092
1954,LOBSTER,AMERICAN,12465.2,27480800,10485758
1954,LOBSTER,CALIFORNIA SPINY,408.9,901400,409537
1954,LOBSTER,CARIBBEAN SPINY,883.3,1947300,428406
1955,LOBSTER,AMERICAN,13132.8,28952500,11302897
1955,LOBSTER,CALIFORNIA SPINY,389.7,859100,433719
1955,LOBSTER,CARIBBEAN SPINY,1041.2,2295400,527942
1956,LOBSTER,AMERICAN,12029.8,26520800,11906488
1956,LOBSTER,CALIFORNIA SPINY,333.8,736000,384722
1956,LOBSTER,CARIBBEAN SPINY,1412,3113000,825056
1957,LOBSTER,AMERICAN,13678.1,30154700,11511322
1957,LOBSTER,CALIFORNIA SPINY,293.7,647500,377406
1957,LOBSTER,CARIBBEAN SPINY,1832.4,4039800,1123545
1958,LOBSTER,AMERICAN,12350.1,27227100,13218791
1958,LOBSTER,CALIFORNIA SPINY, ,633200,389387
1958,LOBSTER,CARIBBEAN SPINY,1340.1,2954300,836546
1959,LOBSTER,AMERICAN,13192.9,29085000,14466924
1959,LOBSTER,CALIFORNIA SPINY,229.6,506200,306442
1959,LOBSTER,CARIBBEAN SPINY,1442.3,3179600,954274
1960,LOBSTER,AMERICAN,14137.8,31168200,14250055
1960,LOBSTER,CALIFORNIA SPINY,159.2,351000,235511
1960,LOBSTER,CARIBBEAN SPINY,1292.1,2848500,1100269
1961,LOBSTER,AMERICAN,12699.9,27998300,14571354
1961,LOBSTER,CALIFORNIA SPINY,189.9,418700,283718
1961,LOBSTER,CARIBBEAN SPINY,1271.6,2803400,969287
1962,LOBSTER,AMERICAN,13379.3,29496100,14952415
1962,LOBSTER,CALIFORNIA SPINY,234.5,517000,353915
1962,LOBSTER,CARIBBEAN SPINY,1423.9,3139200,1200651
1963,LOBSTER,AMERICAN,13732.8,30275400,16768949
1963,LOBSTER,CALIFORNIA SPINY,265,584200,381375
1963,LOBSTER,CARIBBEAN SPINY,1626.2,3585200,1408003
1964,LOBSTER,AMERICAN,14042,30957013,19856718
1964,LOBSTER,CALIFORNIA SPINY,202.6,446700,308878
1964,LOBSTER,CARIBBEAN SPINY,1647.1,3631100,1562163
1965,LOBSTER,AMERICAN,13718.9,30244585,21957454
1965,LOBSTER,CALIFORNIA SPINY,217.9,480300,384629
1965,LOBSTER,CARIBBEAN SPINY,2607.8,5749100,3234641
1965,LOBSTER,SLIPPER,0,100,30
1966,LOBSTER,AMERICAN,13399.7,29541000,22266074
1966,LOBSTER,CALIFORNIA SPINY,221.9,489100,409330
1966,LOBSTER,CARIBBEAN SPINY,2426.8,5350200,2468969
1967,LOBSTER,AMERICAN,12131.3,26744600,22388519
1967,LOBSTER,CALIFORNIA SPINY,204.1,449900,387933
1967,LOBSTER,CARIBBEAN SPINY,2002,4413600,2733014
1968,LOBSTER,AMERICAN,14768.3,32558100,25451007
1968,LOBSTER,CALIFORNIA SPINY,141.7,312500,293165
1968,LOBSTER,CARIBBEAN SPINY,3247.3,7159100,5069120
1969,LOBSTER,AMERICAN,15325.5,33786600,28998384
1969,LOBSTER,CALIFORNIA SPINY,140.4,309500,346733
1969,LOBSTER,CARIBBEAN SPINY,3839,8463400,5952090
1970,LOBSTER,AMERICAN,15491.4,34152300,33462748
1970,LOBSTER,CALIFORNIA SPINY,102.2,225400,268320
1970,LOBSTER,CARIBBEAN SPINY,4588.2,10115200,6059299
1971,LOBSTER,AMERICAN,15281,33688600,35594023
1971,LOBSTER,CALIFORNIA SPINY,101.8,224500,308730
1971,LOBSTER,CARIBBEAN SPINY,3951.8,8712100,7513877
1972,LOBSTER,AMERICAN,14625.7,32243800,39510981
1972,LOBSTER,CALIFORNIA SPINY,180.6,398200,622019
1972,LOBSTER,CARIBBEAN SPINY,5357.8,11811900,12159195
1972,LOBSTER,SLIPPER,7.2,15800,8666
1973,LOBSTER,AMERICAN,13151.3,28993400,41585884
1973,LOBSTER,CALIFORNIA SPINY,105.8,233200,397208
1973,LOBSTER,CARIBBEAN SPINY,5077.7,11194200,11683515
1973,LOBSTER,SLIPPER,2.4,5400,3743
1974,LOBSTER,AMERICAN,12947,28543000,43294695
1974,LOBSTER,CALIFORNIA SPINY,86.6,191000,365076
1974,LOBSTER,CARIBBEAN SPINY,4936.7,10883400,13393301
1974,LOBSTER,SLIPPER,0.8,1800,1705
1975,LOBSTER,AMERICAN,13698.4,30199500,51412975
1975,LOBSTER,CALIFORNIA SPINY,91.4,201500,429298
1975,LOBSTER,CARIBBEAN SPINY,3360.5,7408500,9863076
1975,LOBSTER,SLIPPER,2.5,5600,5755
1976,LOBSTER,AMERICAN,14280,31481600,51913288
1976,LOBSTER,CALIFORNIA SPINY,132.7,292600,663103
1976,LOBSTER,CARIBBEAN SPINY,2424.7,5345600,8586312
1976,LOBSTER,SLIPPER,4.9,10900,11328
1977,LOBSTER,AMERICAN,14412.1,31772900,57868431
1977,LOBSTER,CALIFORNIA SPINY,114.1,251600,606695
1977,LOBSTER,CARIBBEAN SPINY,2877.7,6344100,10425448
1977,LOBSTER,SLIPPER,13.5,29700,56094
1978,LOBSTER,AMERICAN,15579,34345568,64815788
1978,LOBSTER,CALIFORNIA SPINY,254.3,560600,1487370
1978,LOBSTER,CARIBBEAN SPINY,2541,5601903,19725999
1978,LOBSTER,SLIPPER,17.1,37774,93074
1979,LOBSTER,AMERICAN,16874.1,37200600,72213885
1979,LOBSTER,CALIFORNIA SPINY,190,418941,1353535
1979,LOBSTER,CARIBBEAN SPINY,3550.9,7828269,15192340
1979,LOBSTER,SLIPPER,0.6,1240,1509
1980,LOBSTER,AMERICAN,16880.4,37214500,76118331
1980,LOBSTER,CALIFORNIA SPINY,188,414553,1345592
1980,LOBSTER,CARIBBEAN SPINY,3036.8,6694842,14082595
1980,LOBSTER,SLIPPER,9.9,21849,38002
1981,LOBSTER,AMERICAN,17750.4,39132500,85736088
1981,LOBSTER,CALIFORNIA SPINY,217.4,479212,1637116
1981,LOBSTER,CARIBBEAN SPINY,3027.8,6675005,19216166
1981,LOBSTER,SLIPPER,17.8,39351,70928
1982,LOBSTER,AMERICAN,19542.9,43084300,99445337
1982,LOBSTER,CALIFORNIA SPINY,238.1,524862,1891048
1982,LOBSTER,CARIBBEAN SPINY,3001.4,6616804,15998182
1982,LOBSTER,SLIPPER,35.6,78473,113871
1983,LOBSTER,AMERICAN,20320.1,44797660,108427186
1983,LOBSTER,CALIFORNIA SPINY,238.2,525146,1994419
1983,LOBSTER,CARIBBEAN SPINY,2053,4526000,11373801
1983,LOBSTER,SLIPPER,46.3,102011,164988
1984,LOBSTER,AMERICAN,20659.3,45545524,122534431
1984,LOBSTER,CALIFORNIA SPINY,201.8,444998,1769902
1984,LOBSTER,CARIBBEAN SPINY,3126.2,6891917,17378348
1984,LOBSTER,SLIPPER,28.4,62655,145515
1985,LOBSTER,AMERICAN,21297.5,46952481,116893703
1985,LOBSTER,CALIFORNIA SPINY,203.1,447848,1946290
1985,LOBSTER,CARIBBEAN SPINY,3146.3,6936393,17384942
1985,LOBSTER,SLIPPER,51,112390,197766
1986,LOBSTER,AMERICAN,20740.7,45724900,119736851
1986,LOBSTER,CALIFORNIA SPINY,221.7,488804,2227652
1986,LOBSTER,CARIBBEAN SPINY,2790.8,6152704,16934110
1986,LOBSTER,SLIPPER,27.7,60962,143549
1987,LOBSTER,AMERICAN,20798.4,45852261,141902985
1987,LOBSTER,CALIFORNIA SPINY,204,449769,2145884
1987,LOBSTER,CARIBBEAN SPINY,2999,6611647,24448074
1987,LOBSTER,SLIPPER,11.9,26214,78438
1988,LOBSTER,AMERICAN,22209.7,48963602,146178363
1988,LOBSTER,CALIFORNIA SPINY,270.8,596990,3194794
1988,LOBSTER,CARIBBEAN SPINY,3405.8,7508430,21801002
1988,LOBSTER,SLIPPER,17.4,38252,103399
1989,LOBSTER,AMERICAN,23843.3,52564851,147211621
1989,LOBSTER,CALIFORNIA SPINY,332.5,732948,4029297
1989,LOBSTER,CARIBBEAN SPINY,4059.3,8949159,28188301
1989,LOBSTER,SLIPPER,19.1,42094,99585
1990,LOBSTER,AMERICAN,28296.8,62383125,154757113
1990,LOBSTER,CALIFORNIA SPINY,320.2,705894,3968186
1990,LOBSTER,CARIBBEAN SPINY,3075.8,6780964,24703984
1990,LOBSTER,SLIPPER,7.7,17064,38165
1991,LOBSTER,AMERICAN,29072.8,64093998,166014347
1991,LOBSTER,CALIFORNIA SPINY,274.1,604181,3815034
1991,LOBSTER,CARIBBEAN SPINY,3273.1,7215809,28630678
1991,LOBSTER,SLIPPER,17,37392,95277
1992,LOBSTER,AMERICAN,25977.9,57270826,166371185
1992,LOBSTER,CALIFORNIA SPINY,265.9,586207,3823949
1992,LOBSTER,CARIBBEAN SPINY,2181.5,4809421,18922781
1992,LOBSTER,SLIPPER,24.1,53139,128902
1993,LOBSTER,AMERICAN,26290,57958940,160260573
1993,LOBSTER,CALIFORNIA SPINY,253.1,557973,3613248
1993,LOBSTER,CARIBBEAN SPINY,2442.7,5385085,18053227
1993,LOBSTER,SLIPPER,23.4,51635,142040
1994,LOBSTER,AMERICAN,31717.6,69924673,207143216
1994,LOBSTER,CALIFORNIA SPINY,213.5,470702,3490463
1994,LOBSTER,CARIBBEAN SPINY,3274.2,7218204,31020680
1994,LOBSTER,SLIPPER,30.3,66776,166255
1995,LOBSTER,AMERICAN,31733.8,69960365,214391068
1995,LOBSTER,CALIFORNIA SPINY,279.6,616478,4829558
1995,LOBSTER,CARIBBEAN SPINY,3206.4,7068938,31581042
1995,LOBSTER,SLIPPER,12.5,27609,73618
1996,LOBSTER,AMERICAN,32342.7,71302724,241416866
1996,LOBSTER,CALIFORNIA SPINY,298.6,658374,5117534
1996,LOBSTER,CARIBBEAN SPINY,3665.3,8080547,31343408
1996,LOBSTER,SLIPPER,14.3,31479,87843
1997,LOBSTER,AMERICAN,37451.2,82564997,271539849
1997,LOBSTER,CALIFORNIA SPINY,414.3,913409,6782252
1997,LOBSTER,CARIBBEAN SPINY,3315.6,7309477,30351731
1997,LOBSTER,SLIPPER,21.4,47175,150044
1998,LOBSTER,AMERICAN,36043.7,79462001,252893309
1998,LOBSTER,CALIFORNIA SPINY,335,738501,4704994
1998,LOBSTER,CARIBBEAN SPINY,2702.6,5958097,22830994
1998,LOBSTER,SLIPPER,10.4,22877,58734
1999,LOBSTER,AMERICAN,40166.3,88550595,327147321
1999,LOBSTER,CALIFORNIA SPINY,223.8,493311,3647995
1999,LOBSTER,CARIBBEAN SPINY,3502.3,7721211,33811765
1999,LOBSTER,SLIPPER,5,10958,31449
2000,LOBSTER,AMERICAN,39374.1,86804071,313766431
2000,LOBSTER,BANDED SPINY,4.7,10394,121196
2000,LOBSTER,CALIFORNIA SPINY,320.5,706561,4710924
2000,LOBSTER,CARIBBEAN SPINY,2615.5,5766106,28157038
2000,LOBSTER,SLIPPER,4.3,9469,33366
2001,LOBSTER,AMERICAN,32292.8,71192803,249509514
2001,LOBSTER,BANDED SPINY,3.6,7964,96094
2001,LOBSTER,CALIFORNIA SPINY,316.1,696867,4475393
2001,LOBSTER,CARIBBEAN SPINY,1545.6,3407406,17002807
2001,LOBSTER,SLIPPER,3.8,8302,34349
2002,LOBSTER,AMERICAN,37688.1,83087146,293893651
2002,LOBSTER,BANDED SPINY,4.3,9527,121060
2002,LOBSTER,CALIFORNIA SPINY,318.5,702055,4784056
2002,LOBSTER,CARIBBEAN SPINY,2034.8,4485958,20837619
2002,LOBSTER,SLIPPER,4,8726,34195
2003,LOBSTER,AMERICAN,32515.2,71682906,283515593
2003,LOBSTER,BANDED SPINY,2.5,5541,66551
2003,LOBSTER,CALIFORNIA SPINY,333.7,735566,5278396
2003,LOBSTER,CARIBBEAN SPINY,1936.8,4269831,18871368
2003,LOBSTER,SLIPPER,8.7,19138,81772
2004,LOBSTER,AMERICAN,41380.7,91227878,381551620
2004,LOBSTER,BANDED SPINY,2.2,4870,57893
2004,LOBSTER,CALIFORNIA SPINY,390.2,860199,6160408
2004,LOBSTER,CARIBBEAN SPINY,2270.6,5005836,22805061
2004,LOBSTER,SLIPPER,9.8,21581,105014
2005,LOBSTER,AMERICAN,39854.3,87862730,417766675
2005,LOBSTER,BANDED SPINY,4.6,10091,110927
2005,LOBSTER,CALIFORNIA SPINY,345.2,761031,6038571
2005,LOBSTER,CARIBBEAN SPINY,1527.5,3367509,16680080
2005,LOBSTER,SLIPPER,6.7,14769,69313
2006,LOBSTER,AMERICAN,43599.3,96118933,404394801
2006,LOBSTER,BANDED SPINY,2.8,6178,59527
2006,LOBSTER,CALIFORNIA SPINY,402,886349,8110562
2006,LOBSTER,CARIBBEAN SPINY,2165.5,4773995,27329248
2006,LOBSTER,SLIPPER,2.1,4632,17976
2007,LOBSTER,AMERICAN,36759.3,81039466,368527642
2007,LOBSTER,BANDED SPINY,3.6,7845,92908
2007,LOBSTER,CALIFORNIA SPINY,300.6,662644,6915601
2007,LOBSTER,CARIBBEAN SPINY,1706.4,3761889,27012050
2007,LOBSTER,SLIPPER,1.7,3787,21405
2008,LOBSTER,AMERICAN,39802.7,87749019,325121865
2008,LOBSTER,BANDED SPINY,4.5,9912,120317
2008,LOBSTER,CALIFORNIA SPINY,336.2,741290,8007649
2008,LOBSTER,CARIBBEAN SPINY,1578.6,3480114,22452342
2008,LOBSTER,SLIPPER,6,13218,44107
2009,LOBSTER,AMERICAN,45711,100774523,311184204
2009,LOBSTER,BANDED SPINY,5,11000,136072
2009,LOBSTER,CALIFORNIA SPINY,320.3,706054,7934354
2009,LOBSTER,CARIBBEAN SPINY,1931.3,4257757,13291204
2009,LOBSTER,SLIPPER,0.4,959,4295
2010,LOBSTER,AMERICAN,53337.5,117587767,404098419
2010,LOBSTER,BANDED SPINY,4.3,9419,116492
2010,LOBSTER,CALIFORNIA SPINY,324.6,715686,11386190
2010,LOBSTER,CARIBBEAN SPINY,2615.6,5766340,35573459
2010,LOBSTER,SLIPPER,1.1,2434,8021
2011,LOBSTER,AMERICAN,57292.7,126307530,422843214
2011,LOBSTER,BANDED SPINY,4.5,10013,104073
2011,LOBSTER,CALIFORNIA SPINY,340.8,751353,12972498
2011,LOBSTER,CARIBBEAN SPINY,2638.3,5816402,38821731
2011,LOBSTER,SLIPPER,0.9,1930,7651
2012,LOBSTER,AMERICAN,68347.1,150678036,431494183
2012,LOBSTER,BANDED SPINY,3.7,8256,97878
2012,LOBSTER,CALIFORNIA SPINY,397.6,876478,13749382
2012,LOBSTER,CARIBBEAN SPINY,1785.7,3936753,22850811
2012,LOBSTER,SLIPPER,0.6,1354,8227
2013,LOBSTER,AMERICAN,68268.4,150504623,460717005
2013,LOBSTER,BANDED SPINY,4,8823,94673
2013,LOBSTER,CALIFORNIA SPINY,346.7,764302,13842204
2013,LOBSTER,CARIBBEAN SPINY,2760.9,6086639,50185930
2013,LOBSTER,SLIPPER,0.6,1344,5845
2014,LOBSTER,AMERICAN,67136.1,148008240,567071687
2014,LOBSTER,BANDED SPINY,4.6,10172,104091
2014,LOBSTER,CALIFORNIA SPINY,431.6,951435,18238492
2014,LOBSTER,CARIBBEAN SPINY,2532.1,5582160,58571191
2014,LOBSTER,SLIPPER,0.8,1838,4943
2015,LOBSTER,AMERICAN,66683.6,147010762,622035173
2015,LOBSTER,CALIFORNIA SPINY,348.3,767810,15806408
2015,LOBSTER,CARIBBEAN SPINY,2690.2,5930907,47787547
2015,LOBSTER,SLIPPER,0,9,11
2015,LOBSTER,SPANISH,0.4,895,3621
2016,LOBSTER,AMERICAN,72279.2,159346664,670041557
2016,LOBSTER,BANDED SPINY,1.4,3191,27430
2016,LOBSTER,CALIFORNIA SPINY,308.4,679995,13730988
2016,LOBSTER,CARIBBEAN SPINY,2453.7,5409323,44287111
2016,LOBSTER,SLIPPER,0.1,138,1070
2016,LOBSTER,SPANISH,0.3,710,3679
2017,LOBSTER,AMERICAN,60316,132972729,552055840
2017,LOBSTER,BANDED SPINY,1.4,3110,19984
2017,LOBSTER,CALIFORNIA SPINY,319,703200,13332805
2017,LOBSTER,CARIBBEAN SPINY,1743,3842670,33625682
2017,LOBSTER,SLIPPER,0,88,745
2017,LOBSTER,SPANISH,0.7,1509,2750